date,country,device,platform,views,users
2021-01-01,America,Desktop,Web Mobile,114393,40543
2021-01-02,Australia,Android,Web Desktop,147581,28520
2021-01-03,France,iOS,Web Desktop,149499,34347
2021-01-04,England,Android,App,125772,49542
2021-01-05,Germany,Desktop,Web Desktop,141988,40901
2021-01-06,Australia,Android,Web Desktop,137602,39569
2021-01-07,France,Desktop,Web Mobile,69362,38733
2021-01-08,Australia,iOS,Web Mobile,144911,32419
2021-01-09,France,iOS,App,87179,42793
2021-01-10,France,Android,App,121390,48241
2021-01-11,The Netherlands,iOS,Web Mobile,53758,22617
2021-01-12,France,Android,Web Mobile,65690,29939
2021-01-13,Vietnam,Android,Web Desktop,58389,30897
2021-01-14,The Netherlands,Desktop,Web Desktop,86001,37749
2021-01-15,Germany,Android,App,120293,44932
2021-01-16,America,iOS,Web Desktop,146275,27098
2021-01-17,England,Android,Web Mobile,113319,39156
2021-01-18,Australia,iOS,App,51495,34307
2021-01-19,America,Android,Web Desktop,63969,49247
2021-01-20,France,Desktop,Web Desktop,108101,26586
2021-01-21,Vietnam,Android,App,101563,43721
2021-01-22,Vietnam,Desktop,Web Mobile,54670,23152
2021-01-23,England,Android,Web Desktop,147843,21534
2021-01-24,Germany,Android,Web Desktop,74807,37237
2021-01-25,Vietnam,Android,App,52193,27028
2021-01-26,Germany,Desktop,Web Desktop,124577,30601
2021-01-27,America,Android,Web Mobile,100759,49282
2021-01-28,France,Desktop,Web Mobile,71876,25430
2021-01-29,America,iOS,App,68359,38800
2021-01-30,England,iOS,Web Mobile,106692,44933
2021-01-31,America,Desktop,Web Mobile,125232,44779
2021-02-01,Germany,iOS,Web Desktop,81823,44085
2021-02-02,England,Desktop,Web Desktop,84592,30740
2021-02-03,America,Desktop,Web Desktop,102738,41978
2021-02-04,America,Desktop,Web Mobile,101016,42569
2021-02-05,Vietnam,Android,App,129210,41187
2021-02-06,England,Android,Web Mobile,99929,25042
2021-02-07,The Netherlands,Desktop,App,76393,30249
2021-02-08,Germany,Android,Web Mobile,95328,38017
2021-02-09,Vietnam,Android,App,60944,45472
2021-02-10,Australia,iOS,App,69681,40113
2021-02-11,The Netherlands,Android,Web Mobile,113237,23894
2021-02-12,Australia,Android,App,122687,21009
2021-02-13,Germany,Desktop,Web Desktop,98683,25368
2021-02-14,England,iOS,Web Desktop,108870,48651
2021-02-15,France,Android,App,144440,49655
2021-02-16,England,Desktop,App,136561,49641
2021-02-17,America,Android,Web Desktop,124439,46366
2021-02-18,Germany,Desktop,App,108933,44630
2021-02-19,Germany,iOS,Web Desktop,61177,29245
2021-02-20,Vietnam,Android,Web Mobile,87777,47637
2021-02-21,Germany,Desktop,App,118993,32249
2021-02-22,France,Android,Web Mobile,75363,20931
2021-02-23,America,iOS,App,76450,42895
2021-02-24,Vietnam,Desktop,Web Mobile,120039,23951
2021-02-25,France,Android,Web Mobile,72866,25282
2021-02-26,America,iOS,App,62876,43516
2021-02-27,America,iOS,Web Mobile,76146,37056
2021-02-28,Germany,Desktop,Web Desktop,132461,21334
2021-03-01,Germany,iOS,App,87025,38393
2021-03-02,Vietnam,Desktop,App,109904,44193
2021-03-03,Vietnam,Android,Web Desktop,109551,21205
2021-03-04,Vietnam,Desktop,Web Desktop,82574,24013
2021-03-05,Vietnam,iOS,Web Mobile,70267,22329
2021-03-06,Australia,Android,Web Mobile,138185,23850
2021-03-07,France,Android,Web Mobile,148943,46231
2021-03-08,Vietnam,Desktop,Web Mobile,82003,34562
2021-03-09,Australia,iOS,App,55781,40031
2021-03-10,America,Android,Web Desktop,102210,42171
2021-03-11,America,Desktop,Web Desktop,68890,20305
2021-03-12,America,Desktop,Web Desktop,86627,28746
2021-03-13,Vietnam,Android,App,148270,29675
2021-03-14,Vietnam,Desktop,App,70514,37984
2021-03-15,France,iOS,Web Desktop,117243,34473
2021-03-16,France,Desktop,Web Desktop,101533,47892
2021-03-17,England,Android,App,103675,31732
2021-03-18,France,Desktop,Web Mobile,83792,40234
2021-03-19,America,iOS,App,55044,49867
2021-03-20,America,iOS,Web Mobile,120309,35762
2021-03-21,The Netherlands,iOS,Web Desktop,146309,31982
2021-03-22,Germany,iOS,App,128118,40836
2021-03-23,Vietnam,iOS,Web Desktop,128025,48677
2021-03-24,Australia,Desktop,Web Mobile,94396,28595
2021-03-25,The Netherlands,Android,Web Mobile,107141,25409
2021-03-26,America,Desktop,Web Mobile,97130,26908
2021-03-27,Vietnam,Android,Web Desktop,79062,20087
2021-03-28,The Netherlands,Android,Web Desktop,126513,29672
2021-03-29,America,Android,Web Desktop,132710,33911
2021-03-30,Australia,iOS,Web Mobile,139044,26134
2021-03-31,America,Desktop,Web Mobile,111735,36582
2021-04-01,Vietnam,Desktop,Web Mobile,110605,36131
2021-04-02,Germany,Android,Web Mobile,54733,45749
2021-04-03,Vietnam,Android,Web Desktop,90022,29602
2021-04-04,England,Desktop,App,130290,38211
2021-04-05,England,Desktop,App,116669,42181
2021-04-06,Vietnam,iOS,Web Mobile,67682,25148
2021-04-07,The Netherlands,Android,Web Desktop,55860,25242
2021-04-08,Germany,Android,Web Mobile,136098,29841
2021-04-09,Vietnam,iOS,Web Desktop,56295,46618
2021-04-10,France,iOS,Web Mobile,89773,46314
2021-04-11,France,Desktop,Web Mobile,53995,39101
2021-04-12,England,Desktop,Web Mobile,81956,43153
2021-04-13,Germany,Android,Web Mobile,107281,45261
